id,target_date,mood_target,mood_mean,mood_std,mood_slope,mood_lag1,circumplex.valence_mean,circumplex.valence_lag1,circumplex.arousal_mean,circumplex.arousal_lag1,activity_mean,activity_std,screen_sum,screen_lag1,appCat.builtin_sum,appCat.builtin_lag1,appCat.communication_sum,appCat.communication_lag1,appCat.social_sum,appCat.social_lag1,appCat.entertainment_sum,appCat.entertainment_lag1,appCat.office_sum,appCat.other_sum,appCat.travel_sum,appCat.utilities_sum,appCat.game_sum,appCat.finance_sum,appCat.weather_sum,appCat.unknown_sum,call_sum,sms_sum,dow_sin,dow_cos,is_weekend,mood_class_target
AS14.01,2014-03-01,6.321212121212121,6.303535353535353,0.04646190154386624,0.03863636363636447,6.327272727272727,0.47020202020202023,0.32727272727272727,-0.0803030303030303,0.009090909090909092,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.9749279121818236,-0.2225209339563146,1,low
AS14.01,2014-03-02,6.3151515151515145,6.307954545454545,0.03895196904208934,0.020757575757575895,6.321212121212121,0.4329545454545455,0.32121212121212117,-0.05568181818181818,0.018181818181818184,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.7818314824680299,0.6234898018587334,1,low
AS14.01,2014-03-24,6.0,6.466666666666668,0.3055050463303891,0.3000000000000005,6.8,0.5,0.8,0.3333333333333333,0.2,0.14880476452050737,0.06464074356093619,33170.844001293175,6773.832001447675,5405.871999999999,1286.246,18649.356,5237.319,6656.701999999999,900.839,1545.982,94.346,172.20600000000002,422.062,952.75,767.535,0.0,114.023,30.386,45.173,10.0,1.0,0.0,1.0,0,low
AS14.01,2014-03-25,6.75,6.3500000000000005,0.34156502553198653,-0.020000000000000354,6.0,0.375,0.0,0.45,0.8,0.1348360228395255,0.064104976537185,48218.19500184058,15047.351000547404,6272.8279999999995,866.956,27919.985,9270.629,9880.328,3223.6259999999997,2522.953,976.9709999999999,175.216,488.62,1372.555,946.2669999999999,0.0,148.129,30.386,45.173,20.0,1.0,0.7818314824680298,0.6234898018587336,0,low
AS14.01,2014-03-26,6.6,6.4300000000000015,0.345687720348872,0.07000000000000052,6.75,0.4,0.5,0.45999999999999996,0.5,0.13820132150810302,0.06097331962955497,65485.564612762915,19543.313611166483,7056.617,1032.768,36028.507,10276.751,10992.068,1919.471,2240.303,68.206,175.216,656.094,1372.555,1148.086,0.0,191.183,30.386,235.223,19.0,2.0,0.9749279121818236,-0.22252093395631434,0,low
AS14.01,2014-03-27,7.0,6.51,0.3248076353782342,0.03499999999999966,6.6,0.48,0.6,0.38,-0.2,0.13165296504424048,0.06324642044191796,63930.458613054754,16423.80100035667,5084.896000000001,1167.497,38736.37,8988.753,11075.627,4592.059,2143.326,910.479,3.01,513.841,457.11,582.697,0.0,193.97000000000003,30.386,235.223,13.0,2.0,0.43388373911755823,-0.900968867902419,0,medium
AS14.01,2014-03-28,6.4,6.63,0.38013155617496425,0.10000000000000024,7.0,0.54,0.8,0.3,0.2,0.11617904939006836,0.0335652482072807,75230.44761289835,17442.14999938011,5582.794000000001,1229.327,40709.96400000001,6936.512,11571.375999999998,935.381,2689.341,639.3389999999999,185.46099999999998,474.23,467.119,644.105,0.0,215.113,30.386,235.223,12.0,2.0,-0.433883739117558,-0.9009688679024191,0,low
AS14.01,2014-03-29,8.0,6.55,0.37749172176353746,0.10500000000000045,6.4,0.5,0.6,0.14,-0.6,0.10677043055647965,0.030731995268242242,73380.10461105585,4923.48899960518,14359.143,10062.595,36339.478,866.833,11183.277999999998,512.741,3600.398,1005.403,185.46099999999998,627.358,1600.1280000000002,915.736,233.036,260.876,0.0,235.223,17.0,2.0,-0.9749279121818236,-0.2225209339563146,1,high
AS14.01,2014-03-30,7.5,6.95,0.6264982043070834,0.23000000000000012,8.0,0.7,1.0,0.020000000000000007,0.2,0.104618781353734,0.033424445402834894,66655.37561024904,8322.6219997406,15444.817,1952.63,29789.540999999997,2720.692,8432.54,472.888,4250.856,1627.429,182.451,730.394,1232.758,1337.6409999999998,233.036,226.77,0.0,235.223,11.0,3.0,-0.7818314824680299,0.6234898018587334,1,high
AS14.01,2014-03-31,7.4,7.1,0.6557438524302001,0.28000000000000075,7.5,0.75,0.75,-0.18,-0.5,0.09476255297994103,0.041914102016143186,51635.27600002289,4523.2140009403265,14826.413999999999,414.365,20811.295,1298.505,6680.754000000001,167.685,5718.326999999999,1535.677,182.451,625.5780000000001,1232.758,1153.044,233.036,183.716,0.0,66.477,11.0,2.0,0.0,1.0,0,high
